Global Logger,4-10-2024,17:18:56
Date, Time, Meters, Volts
4-10-24, 10:34:21, -0.002, 16.57
4-10-24, 10:34:22, -0.002, 16.56
4-10-24, 10:34:23, -0.002, 16.57
4-10-24, 10:34:24, -0.002, 16.57
4-10-24, 10:34:25, -0.005, 16.57
4-10-24, 10:34:26, -0.002, 16.56
4-10-24, 10:34:27, -0.005, 16.57
4-10-24, 10:34:28, -0.005, 16.57
4-10-24, 10:34:29, -0.002, 16.56
4-10-24, 10:34:30, -0.002, 16.57
4-10-24, 10:34:31, -0.002, 16.57
4-10-24, 10:34:32, -0.002, 16.57
4-10-24, 10:34:33, -0.002, 16.56
4-10-24, 10:34:34, -0.002, 16.57
4-10-24, 10:34:35, -0.002, 16.56
4-10-24, 10:34:36, -0.005, 16.57
4-10-24, 10:34:37, -0.002, 16.57
4-10-24, 10:34:38, -0.005, 16.56
4-10-24, 10:34:39, -0.005, 16.57
4-10-24, 10:34:40, -0.002, 16.57
4-10-24, 10:34:41, -0.005, 16.57
4-10-24, 10:34:42, -0.002, 16.57
4-10-24, 10:34:43, -0.002, 16.57
4-10-24, 10:34:44, -0.002, 16.57
4-10-24, 10:34:45, -0.002, 16.57
4-10-24, 10:34:46, -0.005, 16.56
4-10-24, 10:34:47, -0.005, 16.56
4-10-24, 10:34:48, -0.002, 16.57
4-10-24, 10:34:49, 0.037, 16.57
4-10-24, 10:34:50, 0.194, 16.56
4-10-24, 10:34:51, 0.249, 16.57
4-10-24, 10:34:52, 0.272, 16.57
4-10-24, 10:34:53, 0.291, 16.57
4-10-24, 10:34:54, 0.286, 16.56
4-10-24, 10:34:55, 0.284, 16.56
4-10-24, 10:34:56, 0.286, 16.56
4-10-24, 10:34:57, 0.284, 16.56
4-10-24, 10:34:58, 0.284, 16.56
4-10-24, 10:34:59, 0.284, 16.56
4-10-24, 10:35:00, 0.284, 16.56
4-10-24, 10:35:01, 0.284, 16.56
4-10-24, 10:35:02, 0.284, 16.56
4-10-24, 10:35:03, 0.286, 16.56
4-10-24, 10:35:04, 0.284, 16.56
4-10-24, 10:35:05, 0.286, 16.56
4-10-24, 10:35:06, 0.284, 16.56
4-10-24, 10:35:07, 0.284, 16.57
4-10-24, 10:35:08, 0.284, 16.56
4-10-24, 10:35:09, 0.284, 16.56
4-10-24, 10:35:10, 0.284, 16.56
4-10-24, 10:35:11, 0.286, 16.56
4-10-24, 10:35:12, 0.267, 16.56
4-10-24, 10:35:13, 0.286, 16.56
4-10-24, 10:35:14, 0.279, 16.56
4-10-24, 10:35:15, 0.279, 16.56
4-10-24, 10:35:16, 0.279, 16.56
4-10-24, 10:35:17, 0.279, 16.56
4-10-24, 10:35:18, 0.279, 16.56
4-10-24, 10:35:19, 0.279, 16.56
4-10-24, 10:35:20, 0.281, 16.56
4-10-24, 10:35:21, 0.014, 16.56
4-10-24, 10:35:22, 0.012, 16.56
4-10-24, 10:35:23, 0.007, 16.56
4-10-24, 10:35:24, 0.002, 16.57
4-10-24, 10:35:25, 0.000, 16.56
4-10-24, 10:35:26, 0.005, 16.56
4-10-24, 10:35:27, 0.000, 16.56
4-10-24, 10:35:28, -0.005, 16.56
4-10-24, 10:35:29, -0.002, 16.57
4-10-24, 10:35:30, -0.002, 16.56
4-10-24, 10:35:31, -0.002, 16.56
4-10-24, 10:35:32, -0.002, 16.57
4-10-24, 10:35:33, -0.002, 16.57
4-10-24, 10:35:34, -0.002, 16.56
4-10-24, 10:35:35, -0.005, 16.56
4-10-24, 10:35:36, 0.000, 16.56
4-10-24, 10:35:37, 0.000, 16.56
4-10-24, 10:35:38, 0.000, 16.56
4-10-24, 10:35:39, 0.000, 16.57
4-10-24, 10:35:40, 0.000, 16.56
4-10-24, 10:35:41, 0.000, 16.57
4-10-24, 10:35:42, 0.000, 16.56
4-10-24, 10:35:43, 0.000, 16.56
4-10-24, 10:35:44, 0.000, 16.57
4-10-24, 10:35:45, 0.000, 16.56
4-10-24, 10:35:46, 0.000, 16.56
4-10-24, 10:35:47, 0.000, 16.56
4-10-24, 10:35:48, 0.000, 16.56
4-10-24, 10:35:49, 0.000, 16.56
4-10-24, 10:35:50, 0.000, 16.56
4-10-24, 10:35:51, 0.000, 16.57
4-10-24, 10:35:52, 0.000, 16.56
4-10-24, 10:35:53, 0.000, 16.57
4-10-24, 10:35:54, 0.000, 16.56
4-10-24, 10:35:55, 0.000, 16.57
4-10-24, 10:35:56, 0.000, 16.56
4-10-24, 10:35:57, 0.000, 16.56
4-10-24, 10:35:58, 0.000, 16.56
4-10-24, 10:35:59, 0.000, 16.56
4-10-24, 10:36:00, 0.000, 16.56
4-10-24, 10:36:01, -0.002, 16.56
4-10-24, 10:36:02, 0.000, 16.56
4-10-24, 10:36:03, -0.002, 16.57
4-10-24, 10:36:04, -0.002, 16.56
4-10-24, 10:36:05, 0.000, 16.56
4-10-24, 10:36:06, 0.002, 16.56
4-10-24, 10:36:07, 0.002, 16.56
4-10-24, 10:36:08, 0.002, 16.57
4-10-24, 10:36:09, 0.002, 16.56
4-10-24, 10:36:10, 0.000, 16.56
4-10-24, 10:36:11, 0.002, 16.56
4-10-24, 10:36:12, 0.000, 16.56
4-10-24, 10:36:13, 0.002, 16.56
4-10-24, 10:36:14, 0.002, 16.57
4-10-24, 10:36:15, 0.002, 16.56
4-10-24, 10:36:16, 0.002, 16.56
4-10-24, 10:36:17, 0.000, 16.56
4-10-24, 10:36:18, 0.002, 16.56
4-10-24, 10:36:19, 0.002, 16.56
4-10-24, 10:36:20, 0.002, 16.56
4-10-24, 10:36:21, 0.000, 16.56
4-10-24, 10:36:22, 0.000, 16.56
4-10-24, 10:36:23, 0.000, 16.56
4-10-24, 10:36:24, 0.002, 16.56
4-10-24, 10:36:25, 0.002, 16.56
4-10-24, 10:36:26, 0.002, 16.56
4-10-24, 10:36:27, 0.002, 16.57
4-10-24, 10:36:28, 0.002, 16.56
4-10-24, 10:36:29, 0.000, 16.55
4-10-24, 10:36:30, 0.000, 16.56
4-10-24, 10:36:31, 0.002, 16.56
4-10-24, 10:36:32, 0.000, 16.56
4-10-24, 10:36:33, 0.002, 16.56
4-10-24, 10:36:34, 0.002, 16.56
4-10-24, 10:36:35, 0.000, 16.56
4-10-24, 10:36:36, 0.002, 16.56
4-10-24, 10:36:37, 0.000, 16.56
4-10-24, 10:36:38, 0.000, 16.56
4-10-24, 10:36:39, 0.000, 16.56
4-10-24, 10:36:40, 0.000, 16.56
4-10-24, 10:36:41, 0.002, 16.56
4-10-24, 10:36:42, 0.002, 16.56
4-10-24, 10:36:43, 0.000, 16.56
4-10-24, 10:36:44, 0.002, 16.56
4-10-24, 10:36:45, 0.002, 16.56
4-10-24, 10:36:46, 0.002, 16.56
4-10-24, 10:36:47, 0.002, 16.56
4-10-24, 10:36:48, 0.005, 16.56
4-10-24, 10:36:49, 0.005, 16.56
4-10-24, 10:45:15, -0.002, 16.56
4-10-24, 10:45:16, -0.002, 16.56
4-10-24, 10:45:17, -0.002, 16.56
4-10-24, 10:45:18, -0.002, 16.56
4-10-24, 10:45:19, -0.002, 16.56
4-10-24, 10:45:20, -0.002, 16.56
4-10-24, 10:45:21, -0.002, 16.56
4-10-24, 10:45:22, -0.002, 16.56
4-10-24, 10:45:23, -0.002, 16.56
4-10-24, 10:45:24, -0.002, 16.56
4-10-24, 10:45:25, -0.002, 16.56
4-10-24, 10:45:26, -0.002, 16.56
4-10-24, 10:45:27, -0.002, 16.56
4-10-24, 10:45:28, -0.002, 16.56
4-10-24, 10:45:29, -0.002, 16.56
4-10-24, 10:45:30, -0.002, 16.56
4-10-24, 10:45:31, -0.002, 16.56
4-10-24, 10:45:32, -0.002, 16.56
4-10-24, 10:45:33, -0.002, 16.56
4-10-24, 10:45:34, -0.002, 16.56
4-10-24, 10:45:35, -0.002, 16.56
4-10-24, 10:45:36, -0.002, 16.56
4-10-24, 10:45:37, -0.002, 16.56
4-10-24, 10:45:38, -0.002, 16.56
4-10-24, 10:45:39, -0.002, 16.56
4-10-24, 10:45:40, -0.002, 16.56
4-10-24, 10:45:41, -0.005, 16.56
4-10-24, 10:45:42, -0.002, 16.56
4-10-24, 10:45:43, -0.005, 16.56
4-10-24, 10:45:44, -0.002, 16.56
4-10-24, 10:45:45, -0.005, 16.56
4-10-24, 10:45:46, -0.005, 16.56
4-10-24, 10:45:47, -0.002, 16.56
4-10-24, 10:45:48, -0.002, 16.56
4-10-24, 10:45:49, -0.002, 16.56
4-10-24, 10:45:50, -0.002, 16.56
4-10-24, 10:45:51, -0.002, 16.56
4-10-24, 10:45:52, -0.005, 16.56
4-10-24, 10:45:53, -0.002, 16.56
4-10-24, 10:45:54, -0.005, 16.56
4-10-24, 10:45:55, -0.002, 16.56
4-10-24, 10:45:56, -0.002, 16.56
4-10-24, 10:45:57, -0.005, 16.56
4-10-24, 10:45:58, -0.005, 16.56
4-10-24, 10:45:59, -0.002, 16.56
4-10-24, 10:46:00, -0.005, 16.56
4-10-24, 10:46:01, -0.005, 16.56
4-10-24, 10:46:02, -0.002, 16.56
4-10-24, 10:46:03, -0.002, 16.56
4-10-24, 10:46:04, -0.005, 16.56
4-10-24, 10:46:05, -0.005, 16.56
4-10-24, 10:46:06, -0.005, 16.56
4-10-24, 10:46:07, -0.005, 16.56
4-10-24, 10:46:08, -0.005, 16.56
4-10-24, 10:46:09, -0.002, 16.56
4-10-24, 10:46:10, -0.002, 16.56
4-10-24, 10:46:11, -0.005, 16.56
4-10-24, 10:46:12, -0.005, 16.56
4-10-24, 10:46:13, -0.002, 16.56
4-10-24, 10:46:14, -0.002, 16.56
4-10-24, 10:46:15, -0.005, 16.57
4-10-24, 10:46:16, -0.005, 16.56
4-10-24, 10:46:17, -0.005, 16.56
4-10-24, 10:46:18, -0.002, 16.56
4-10-24, 10:46:19, -0.002, 16.56
4-10-24, 10:46:20, -0.002, 16.56
4-10-24, 10:46:21, -0.005, 16.56
4-10-24, 10:46:22, -0.005, 16.56
4-10-24, 10:46:23, -0.005, 16.56
4-10-24, 10:46:24, -0.005, 16.56
4-10-24, 10:46:25, -0.005, 16.56
4-10-24, 10:46:26, -0.005, 16.56
4-10-24, 10:46:27, -0.005, 16.56
4-10-24, 10:46:28, -0.002, 16.56
4-10-24, 10:46:29, -0.002, 16.56
4-10-24, 10:46:30, -0.005, 16.56
4-10-24, 10:46:31, -0.005, 16.56
4-10-24, 10:46:32, -0.005, 16.56
4-10-24, 10:46:33, -0.005, 16.56
4-10-24, 10:46:34, -0.005, 16.56
4-10-24, 10:46:35, -0.005, 16.56
4-10-24, 10:46:36, -0.005, 16.56
4-10-24, 10:46:37, -0.005, 16.56
4-10-24, 10:46:38, -0.002, 16.56
4-10-24, 10:46:39, -0.005, 16.56
4-10-24, 10:46:40, -0.005, 16.56
4-10-24, 10:46:41, -0.005, 16.56
4-10-24, 10:46:42, -0.002, 16.56
4-10-24, 10:46:43, -0.002, 16.56
4-10-24, 10:46:44, -0.005, 16.56
4-10-24, 10:46:45, -0.005, 16.56
4-10-24, 10:46:46, -0.005, 16.56
4-10-24, 10:46:47, -0.005, 16.56
4-10-24, 10:46:48, -0.005, 16.56
4-10-24, 10:46:49, -0.005, 16.56
4-10-24, 10:46:50, -0.005, 16.56
4-10-24, 10:46:51, -0.005, 16.56
4-10-24, 10:46:52, -0.005, 16.56
4-10-24, 10:46:53, -0.005, 16.56
4-10-24, 10:46:54, -0.005, 16.56
4-10-24, 10:46:55, -0.005, 16.56
4-10-24, 10:46:56, -0.005, 16.56
4-10-24, 10:46:57, -0.005, 16.56
4-10-24, 10:46:58, -0.005, 16.56
4-10-24, 10:46:59, -0.005, 16.56
4-10-24, 10:47:00, -0.005, 16.56
4-10-24, 10:47:01, -0.005, 16.56
4-10-24, 10:47:02, -0.005, 16.56
4-10-24, 10:47:03, -0.005, 16.56
4-10-24, 10:47:04, -0.005, 16.56
4-10-24, 10:47:05, -0.005, 16.56
4-10-24, 10:47:06, -0.005, 16.56
4-10-24, 10:47:07, -0.005, 16.56
4-10-24, 10:47:08, -0.005, 16.56
4-10-24, 10:47:09, -0.005, 16.56
4-10-24, 10:47:10, -0.005, 16.56
4-10-24, 10:47:11, -0.005, 16.56
4-10-24, 10:47:12, -0.005, 16.56
4-10-24, 10:47:13, -0.005, 16.56
4-10-24, 10:47:14, -0.005, 16.56
4-10-24, 10:47:15, -0.005, 16.56
4-10-24, 10:47:16, -0.005, 16.56
4-10-24, 10:47:17, -0.005, 16.56
4-10-24, 10:47:18, -0.005, 16.56
4-10-24, 10:47:19, -0.005, 16.56
4-10-24, 10:47:20, -0.005, 16.56
4-10-24, 10:47:21, -0.005, 16.56
4-10-24, 10:47:22, -0.005, 16.56
4-10-24, 10:47:23, -0.005, 16.56
4-10-24, 10:47:24, -0.005, 16.56
4-10-24, 10:47:25, -0.005, 16.56
4-10-24, 10:47:26, -0.005, 16.56
4-10-24, 10:47:27, -0.005, 16.56
4-10-24, 10:47:28, -0.005, 16.56
4-10-24, 10:47:29, -0.005, 16.56
4-10-24, 10:47:30, -0.002, 16.56
4-10-24, 10:47:31, -0.005, 16.56
4-10-24, 10:47:32, -0.005, 16.56
4-10-24, 10:47:33, -0.005, 16.56
4-10-24, 10:47:34, -0.005, 16.56
4-10-24, 10:47:35, -0.005, 16.56
4-10-24, 10:47:36, -0.005, 16.55
4-10-24, 10:47:37, -0.005, 16.56
4-10-24, 10:47:38, -0.005, 16.56
4-10-24, 10:47:39, -0.005, 16.56
4-10-24, 10:47:40, -0.005, 16.56
4-10-24, 10:47:41, -0.005, 16.56
4-10-24, 10:47:42, -0.005, 16.56
4-10-24, 10:47:43, -0.005, 16.56
4-10-24, 10:47:44, -0.005, 16.56
4-10-24, 10:47:45, -0.005, 16.56
4-10-24, 10:47:46, -0.005, 16.56
4-10-24, 10:47:47, -0.005, 16.56
4-10-24, 10:47:48, -0.005, 16.56
4-10-24, 10:47:49, -0.005, 16.56
4-10-24, 10:47:50, -0.005, 16.56
4-10-24, 10:47:51, -0.005, 16.56
4-10-24, 10:47:52, -0.005, 16.56
4-10-24, 10:47:53, -0.005, 16.56
4-10-24, 10:47:54, -0.005, 16.56
4-10-24, 10:47:55, -0.005, 16.56
4-10-24, 10:47:56, -0.005, 16.56
4-10-24, 10:47:57, -0.005, 16.56
4-10-24, 10:47:58, -0.005, 16.56
4-10-24, 10:47:59, -0.005, 16.56
4-10-24, 10:48:00, -0.005, 16.56
4-10-24, 10:48:01, -0.005, 16.56
4-10-24, 10:48:02, -0.005, 16.56
4-10-24, 10:48:03, -0.005, 16.56
4-10-24, 10:48:04, -0.005, 16.56
4-10-24, 10:48:05, -0.005, 16.56
4-10-24, 10:48:06, -0.005, 16.56
4-10-24, 10:48:07, -0.005, 16.56
4-10-24, 10:48:08, -0.005, 16.56
4-10-24, 10:48:09, -0.005, 16.56
4-10-24, 10:48:10, -0.005, 16.56
4-10-24, 10:48:11, -0.005, 16.56
4-10-24, 10:48:12, -0.005, 16.56
4-10-24, 10:48:13, -0.005, 16.56
4-10-24, 10:48:14, -0.005, 16.56
4-10-24, 10:48:15, -0.005, 16.56
4-10-24, 10:48:16, -0.005, 16.56
4-10-24, 10:48:17, -0.005, 16.56
4-10-24, 10:48:18, -0.005, 16.56
4-10-24, 10:48:19, -0.005, 16.56
4-10-24, 10:48:20, -0.005, 16.55
4-10-24, 10:48:21, -0.005, 16.56
4-10-24, 10:48:22, -0.005, 16.56
4-10-24, 10:48:23, -0.005, 16.56
4-10-24, 10:48:24, -0.005, 16.56
4-10-24, 10:48:25, -0.005, 16.56
4-10-24, 10:48:26, -0.005, 16.56
4-10-24, 10:48:27, -0.005, 16.56
4-10-24, 10:48:28, -0.005, 16.56
4-10-24, 10:48:29, -0.005, 16.56
4-10-24, 10:48:30, -0.005, 16.56
4-10-24, 10:48:31, -0.005, 16.56
4-10-24, 10:48:32, -0.005, 16.56
4-10-24, 10:48:33, -0.005, 16.56
4-10-24, 10:48:34, -0.005, 16.56
4-10-24, 10:48:35, -0.005, 16.55
4-10-24, 10:48:36, -0.005, 16.56
4-10-24, 10:48:37, -0.005, 16.56
4-10-24, 10:48:38, -0.005, 16.56
4-10-24, 10:48:39, -0.005, 16.56
4-10-24, 10:48:40, -0.005, 16.56
4-10-24, 10:48:41, -0.005, 16.56
4-10-24, 10:48:42, -0.005, 16.56
4-10-24, 10:48:43, -0.005, 16.56
4-10-24, 10:48:44, -0.005, 16.56
4-10-24, 10:48:45, -0.005, 16.56
4-10-24, 10:48:46, -0.005, 16.56
4-10-24, 10:48:47, -0.005, 16.56
4-10-24, 10:48:48, -0.005, 16.56
4-10-24, 10:48:49, -0.005, 16.56
4-10-24, 10:48:50, -0.005, 16.56
4-10-24, 10:48:51, -0.005, 16.56
4-10-24, 10:48:52, -0.005, 16.56
4-10-24, 10:48:53, -0.005, 16.56
4-10-24, 10:48:54, -0.005, 16.56
4-10-24, 10:48:55, -0.005, 16.56
4-10-24, 10:48:56, -0.002, 16.56
4-10-24, 10:48:57, -0.005, 16.56
4-10-24, 10:48:58, -0.005, 16.56
4-10-24, 10:48:59, -0.005, 16.56
4-10-24, 10:49:00, -0.005, 16.56
4-10-24, 10:49:01, -0.005, 16.56
4-10-24, 10:49:02, -0.005, 16.56
4-10-24, 10:49:03, -0.005, 16.56
4-10-24, 10:49:04, -0.005, 16.56
4-10-24, 10:49:05, -0.005, 16.56
4-10-24, 10:49:06, -0.005, 16.56
4-10-24, 10:49:07, -0.005, 16.56
4-10-24, 10:49:08, -0.005, 16.56
4-10-24, 10:49:09, -0.005, 16.56
4-10-24, 10:49:10, -0.005, 16.56
4-10-24, 10:49:11, -0.005, 16.56
4-10-24, 10:49:12, -0.005, 16.56
4-10-24, 10:49:13, -0.005, 16.56
4-10-24, 10:49:14, -0.005, 16.56
4-10-24, 10:49:15, -0.005, 16.56
4-10-24, 10:49:16, -0.005, 16.56
4-10-24, 10:49:17, -0.005, 16.56
4-10-24, 10:49:18, -0.005, 16.56
4-10-24, 10:49:19, -0.005, 16.56
4-10-24, 10:49:20, -0.005, 16.56
4-10-24, 10:49:21, -0.005, 16.56
4-10-24, 10:49:22, -0.005, 16.56
4-10-24, 10:49:23, -0.005, 16.55
